"","collegeAthleteId","nflAthleteId","collegeId","collegeTeam","collegeConference","nflTeam","year","overall","round","pick","name","position","height","weight","preDraftRanking","preDraftPositionRanking","preDraftGrade","hometownInfo.city","hometownInfo.state","hometownInfo.country","hometownInfo.latitude","hometownInfo.longitude","hometownInfo.countyFips"
"1",NA,14413,87,"Notre Dame","FBS Independents","Buffalo",1972,1,1,1,"Walt Patulski","Defensive End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,780,87,"Notre Dame","FBS Independents","Seattle",1993,2,1,2,"Rick Mirer","Quarterback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,16183,87,"Notre Dame","FBS Independents","Seattle",1976,2,1,2,"Steve Niehaus","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,13532,87,"Notre Dame","FBS Independents","Green Bay",1970,2,1,2,"Mike McCoy","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,13090,87,"Notre Dame","FBS Independents","Atlanta",1969,2,1,2,"George Kunz","Offensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,4634,87,"Notre Dame","FBS Independents","Los Angeles",1991,5,1,5,"Todd Lyght","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3129308,101518,87,"Notre Dame","FBS Independents","Indianapolis",2018,6,1,6,"Quenton Nelson","Offensive Guard",77,325,3,1,95,"Holmdel","NJ","USA","40.3451095","-74.1840322","34025"
"8",-1026408,49919,87,"Notre Dame","FBS Independents","Baltimore",2016,6,1,6,"Ronnie Stanley","Offensive Tackle",78,312,5,2,93,"Las Vegas","NV","USA","36.1672559","-115.1485163","32003"
"9",NA,17009,87,"Notre Dame","FBS Independents","San Francisco",1978,7,1,7,"Ken MacAfee","Tight End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,12633,87,"Notre Dame","FBS Independents","New Orleans",1968,7,1,7,"Kevin Hardy","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,4554,87,"Notre Dame","FBS Independents","San Francisco",1994,7,1,7,"Bryant Young","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,17010,87,"Notre Dame","FBS Independents","Cincinnati",1978,8,1,8,"Ross Browner","Defensive End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",550954,101516,87,"Notre Dame","FBS Independents","San Francisco",2018,9,1,9,"Mike McGlinchey","Offensive Tackle",80,309,13,1,91,"Philadelphia","PA","USA","39.9527237","-75.1635262","42101"
"14",NA,15747,87,"Notre Dame","FBS Independents","Los Angeles",1975,9,1,9,"Mike Fanning","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,13098,87,"Notre Dame","FBS Independents","Los Angeles",1969,10,1,10,"Jim Seymour","Wide Receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,4584,87,"Notre Dame","FBS Independents","Los Angeles",1993,10,1,10,"Jerome Bettis","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
