"","playerId","player","team","conference","category","statType","stat"
"1","480250","Cierre Wood","Notre Dame","FBS Independents","receiving","TD","2"
"2","389142","Armando Allen Jr.","Notre Dame","FBS Independents","rushing","CAR","107"
"3","476000","David Ruffer","Notre Dame","FBS Independents","kicking","FGM","18"
"4","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","YDS","1025"
"5","483393","Theo Riddick","Notre Dame","FBS Independents","rushing","LONG","18"
"6","385438","Kyle Rudolph","Notre Dame","FBS Independents","receiving","YPR","11.7"
"7","379067","Michael Floyd","Notre Dame","FBS Independents","rushing","YDS","9"
"8","385332","Jonas Gray","Notre Dame","FBS Independents","receiving","LONG","13"
"9","385438","Kyle Rudolph","Notre Dame","FBS Independents","receiving","REC","28"
"10","389142","Armando Allen Jr.","Notre Dame","FBS Independents","passing","YPA","3.0"
"11","483401","Ben Turk","Notre Dame","FBS Independents","punting","YDS","2607"
"12","483398","Nick Tausch","Notre Dame","FBS Independents","kicking","LONG","34"
"13","385331","John Goodman","Notre Dame","FBS Independents","receiving","LONG","30"
"14","385324","Dayne Crist","Notre Dame","FBS Independents","passing","YDS","2033"
"15","385331","John Goodman","Notre Dame","FBS Independents","passing","YDS","32"
"16","500914","Bennett Jackson","Notre Dame","FBS Independents","puntReturns","NO","2"
"17","476000","David Ruffer","Notre Dame","FBS Independents","kicking","XPA","40"
"18","500914","Bennett Jackson","Notre Dame","FBS Independents","puntReturns","AVG","0.0"
"19","483393","Theo Riddick","Notre Dame","FBS Independents","receiving","TD","3"
"20","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","TD","2"
"21","389142","Armando Allen Jr.","Notre Dame","FBS Independents","receiving","YPR","8.1"
"22","385331","John Goodman","Notre Dame","FBS Independents","puntReturns","AVG","0.4"
"23","483401","Ben Turk","Notre Dame","FBS Independents","punting","In 20","0"
"24","500914","Bennett Jackson","Notre Dame","FBS Independents","rushing","TD","0"
"25","385320","Robert Blanton","Notre Dame","FBS Independents","puntReturns","YDS","27"
"26","385440","Jamoris Slaughter","Notre Dame","FBS Independents","interceptions","AVG","26.0"
"27","500923","Thomas Rees","Notre Dame","FBS Independents","rushing","YPC","-0.2"
"28","385341","Nate Montana","Notre Dame","FBS Independents","passing","TD","0"
"29","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","CAR","68"
"30","480250","Cierre Wood","Notre Dame","FBS Independents","kickReturns","YDS","300"
"31","500915","TJ Jones","Notre Dame","FBS Independents","receiving","YPR","13.3"
"32","480250","Cierre Wood","Notre Dame","FBS Independents","rushing","YDS","603"
"33","237411","Mike Ragone","Notre Dame","FBS Independents","receiving","YPR","10.7"
"34","231811","Gary Gray","Notre Dame","FBS Independents","interceptions","YDS","9"
"35","483398","Nick Tausch","Notre Dame","FBS Independents","kicking","XPA","0"
"36","500914","Bennett Jackson","Notre Dame","FBS Independents","kickReturns","YDS","645"
"37","237426","Ian Williams","Notre Dame","FBS Independents","interceptions","YDS","0"
"38","483401","Ben Turk","Notre Dame","FBS Independents","punting","TB","0"
"39","385324","Dayne Crist","Notre Dame","FBS Independents","passing","ATT","294"
"40","385331","John Goodman","Notre Dame","FBS Independents","passing","YPA","16.0"
"41","500914","Bennett Jackson","Notre Dame","FBS Independents","puntReturns","TD","0"
"42","483393","Theo Riddick","Notre Dame","FBS Independents","receiving","REC","40"
"43","500910","Austin Collinsworth","Notre Dame","FBS Independents","kickReturns","YDS","34"
"44","385324","Dayne Crist","Notre Dame","FBS Independents","rushing","LONG","29"
"45","237416","Brian Smith","Notre Dame","FBS Independents","interceptions","INT","1"
"46","389142","Armando Allen Jr.","Notre Dame","FBS Independents","passing","PCT","1.000"
"47","483393","Theo Riddick","Notre Dame","FBS Independents","rushing","TD","0"
"48","500910","Austin Collinsworth","Notre Dame","FBS Independents","kickReturns","NO","1"
"49","389142","Armando Allen Jr.","Notre Dame","FBS Independents","rushing","YPC","4.8"
"50","385329","Darius Fleming","Notre Dame","FBS Independents","interceptions","TD","0"
"51","385329","Darius Fleming","Notre Dame","FBS Independents","interceptions","INT","1"
"52","389142","Armando Allen Jr.","Notre Dame","FBS Independents","puntReturns","LONG","38"
"53","500923","Thomas Rees","Notre Dame","FBS Independents","rushing","TD","0"
"54","480250","Cierre Wood","Notre Dame","FBS Independents","receiving","YDS","170"
"55","385320","Robert Blanton","Notre Dame","FBS Independents","puntReturns","TD","1"
"56","385332","Jonas Gray","Notre Dame","FBS Independents","rushing","LONG","36"
"57","500914","Bennett Jackson","Notre Dame","FBS Independents","kickReturns","NO","29"
"58","385332","Jonas Gray","Notre Dame","FBS Independents","rushing","YDS","100"
"59","389142","Armando Allen Jr.","Notre Dame","FBS Independents","passing","TD","0"
"60","483393","Theo Riddick","Notre Dame","FBS Independents","kickReturns","TD","0"
"61","500930","Harrison Smith","Notre Dame","FBS Independents","interceptions","AVG","7.7"
"62","389142","Armando Allen Jr.","Notre Dame","FBS Independents","puntReturns","AVG","6.7"
"63","389142","Armando Allen Jr.","Notre Dame","FBS Independents","receiving","TD","0"
"64","385324","Dayne Crist","Notre Dame","FBS Independents","passing","PCT","0.592"
"65","500923","Thomas Rees","Notre Dame","FBS Independents","rushing","CAR","12"
"66","385341","Nate Montana","Notre Dame","FBS Independents","passing","YPA","6.4"
"67","500923","Thomas Rees","Notre Dame","FBS Independents","passing","PCT","0.610"
"68","500923","Thomas Rees","Notre Dame","FBS Independents","rushing","YDS","-2"
"69","237426","Ian Williams","Notre Dame","FBS Independents","interceptions","INT","1"
