"","season","team","conference","statName","statValue"
"1",2020,"Notre Dame","FBS Independents","passingTDs",15
"2",1936,"Notre Dame","FBS Independents","games",9
"3",2005,"Notre Dame","FBS Independents","passAttempts",454
"4",2019,"Notre Dame","FBS Independents","fourthDowns",25
"5",2004,"Notre Dame","FBS Independents","turnovers",16
"6",2017,"Notre Dame","FBS Independents","penaltyYards",633
"7",2013,"Notre Dame","FBS Independents","passCompletions",226
"8",2022,"Notre Dame","FBS Independents","kickReturnYards",347
"9",1967,"Notre Dame","FBS Independents","games",10
"10",1959,"Notre Dame","FBS Independents","games",10
"11",2005,"Notre Dame","FBS Independents","thirdDowns",184
"12",2010,"Notre Dame","FBS Independents","fumblesLost",8
"13",2009,"Notre Dame","FBS Independents","penalties",75
"14",2017,"Notre Dame","FBS Independents","turnovers",17
"15",2015,"Notre Dame","FBS Independents","thirdDowns",160
"16",2019,"Notre Dame","FBS Independents","sacks",47
"17",2018,"Notre Dame","FBS Independents","kickReturnTDs",0
"18",2017,"Notre Dame","FBS Independents","totalYards",5828
"19",2020,"Notre Dame","FBS Independents","interceptions",3
"20",2014,"Notre Dame","FBS Independents","puntReturnTDs",0
"21",2017,"Notre Dame","FBS Independents","possessionTime",21496
"22",2015,"Notre Dame","FBS Independents","passesIntercepted",9
"23",2012,"Notre Dame","FBS Independents","rushingYards",2462
"24",2004,"Notre Dame","FBS Independents","totalYards",4146
"25",2012,"Notre Dame","FBS Independents","interceptions",8
"26",2011,"Notre Dame","FBS Independents","interceptionYards",186
"27",2015,"Notre Dame","FBS Independents","interceptionYards",65
"28",2014,"Notre Dame","FBS Independents","interceptionYards",138
"29",2005,"Notre Dame","FBS Independents","fourthDowns",18
"30",2019,"Notre Dame","FBS Independents","passCompletions",253
"31",1899,"Notre Dame","FBS Independents","games",10
"32",2005,"Notre Dame","FBS Independents","puntReturnTDs",2
"33",1930,"Notre Dame","FBS Independents","games",10
"34",2019,"Notre Dame","FBS Independents","tacklesForLoss",139
"35",1947,"Notre Dame","FBS Independents","games",9
"36",2005,"Notre Dame","FBS Independents","passingTDs",32
"37",2020,"Notre Dame","FBS Independents","fumblesLost",8
"38",2015,"Notre Dame","FBS Independents","totalYards",6063
"39",1953,"Notre Dame","FBS Independents","games",10
"40",2023,"Notre Dame","FBS Independents","passAttempts",132
"41",2019,"Notre Dame","FBS Independents","penalties",84
"42",1986,"Notre Dame","FBS Independents","games",11
"43",2016,"Notre Dame","FBS Independents","sacks",14
"44",2010,"Notre Dame","FBS Independents","fumblesRecovered",7
"45",2013,"Notre Dame","FBS Independents","possessionTime",22672
"46",2018,"Notre Dame","FBS Independents","penaltyYards",596
"47",1935,"Notre Dame","FBS Independents","games",9
"48",2011,"Notre Dame","FBS Independents","kickReturnYards",1281
"49",1987,"Notre Dame","FBS Independents","games",12
"50",2023,"Notre Dame","FBS Independents","passCompletions",93
"51",2022,"Notre Dame","FBS Independents","fumblesRecovered",8
"52",2022,"Notre Dame","FBS Independents","totalYards",5151
"53",1939,"Notre Dame","FBS Independents","games",9
"54",2017,"Notre Dame","FBS Independents","passesIntercepted",10
"55",2007,"Notre Dame","FBS Independents","puntReturnYards",237
"56",2009,"Notre Dame","FBS Independents","interceptionYards",132
"57",2023,"Notre Dame","FBS Independents","puntReturnTDs",0
"58",2016,"Notre Dame","FBS Independents","thirdDownConversions",68
"59",1914,"Notre Dame","FBS Independents","games",8
"60",1913,"Notre Dame","FBS Independents","games",7
"61",2005,"Notre Dame","FBS Independents","fumblesLost",6
"62",1901,"Notre Dame","FBS Independents","games",10
"63",2012,"Notre Dame","FBS Independents","penalties",71
"64",2002,"Notre Dame","FBS Independents","games",13
"65",1977,"Notre Dame","FBS Independents","games",12
"66",2013,"Notre Dame","FBS Independents","penaltyYards",598
"67",2013,"Notre Dame","FBS Independents","fourthDownConversions",5
"68",2021,"Notre Dame","FBS Independents","thirdDowns",182
"69",2015,"Notre Dame","FBS Independents","passingTDs",25
"70",2007,"Notre Dame","FBS Independents","rushingTDs",11
"71",2010,"Notre Dame","FBS Independents","penaltyYards",531
"72",1970,"Notre Dame","FBS Independents","games",11
"73",1942,"Notre Dame","FBS Independents","games",11
"74",2010,"Notre Dame","FBS Independents","totalYards",4936
"75",2007,"Notre Dame","FBS Independents","interceptionTDs",2
"76",2005,"Notre Dame","FBS Independents","interceptionTDs",3
"77",2010,"Notre Dame","FBS Independents","passAttempts",481
"78",2019,"Notre Dame","FBS Independents","puntReturnTDs",0
"79",2012,"Notre Dame","FBS Independents","thirdDowns",177
