"","year","rank","team","points"
"1",2000,10,"Notre Dame","106.88"
"2",2001,12,"Notre Dame","108.06"
"3",2002,12,"Notre Dame","235.46"
"4",2003,7,"Notre Dame","239.52"
"5",2004,35,"Notre Dame","168.32"
"6",2005,39,"Notre Dame","166.05"
"7",2006,5,"Notre Dame","282.80"
"8",2007,6,"Notre Dame","274.05"
"9",2008,2,"Notre Dame","295.57"
"10",2009,15,"Notre Dame","246.29"
"11",2010,15,"Notre Dame","241.92"
"12",2011,9,"Notre Dame","271.38"
"13",2012,17,"Notre Dame","248.21"
"14",2013,5,"Notre Dame","284.77"
"15",2014,11,"Notre Dame","260.44"
"16",2015,13,"Notre Dame","267.79"
"17",2016,15,"Notre Dame","249.43"
"18",2017,10,"Notre Dame","251.32"
"19",2018,10,"Notre Dame","268.86"
"20",2019,16,"Notre Dame","258.56"
"21",2020,17,"Notre Dame","251.45"
"22",2021,9,"Notre Dame","269.15"
"23",2022,7,"Notre Dame","275.44"
"24",2023,12,"Notre Dame","272.74"
