Node ID,Vertex Type,Name,Bio-mass
1,1,phytoplankton,3480.00
2,1,bacteria in suspended poc,79.00
3,1,bacteria in sediment poc,600.00
4,1,benthic diatoms,177.25
5,1,free bacteria,390.50
6,1,heterotrophic microflagel,39.00
7,1,ciliates,148.75
8,1,zooplankton,197.50
9,1,ctenophores,19.25
10,1,sea nettle,1.75
11,1,other suspension feeders,363.75
12,1,mya arenaria,110.00
13,1,oysters,1100.00
14,1,other polychaetes,1186.50
15,1,nereis,113.25
16,1,macoma spp.,1890.25
17,1,meiofauna,337.50
18,1,crustacean deposit feeder,228.00
19,1,blue crab,275.00
20,1,fish larvae,0.10
21,1,alewife & blue herring,1.15
22,1,bay anchovy,72.75
23,1,menhaden,31.53
24,1,shad,0.45
25,1,croaker,0.95
26,1,hogchoker,9.00
27,1,spot,35.00
28,1,white perch,25.48
29,1,catfish,22.38
30,1,bluefish,2.25
31,1,weakfish,6.30
32,1,summer flounder,4.43
33,1,striped bass,4.40
34,2,dissolved organic carbon,21857.5
35,2,suspended particulate org,7631
36,2,sediment particulate orga,305000
37,3,Input,0
38,4,Output,0
39,5,Respiration,0
